Model,Phase1_F1,Phase2_F1,Improvement,Improvement_%
XGBoost,0.8848019244800868,0.9247900959071438,0.03998817142705702,4.519448965999281
Linear SVM,0.917565299236908,0.9250215338964964,0.0074562346595884454,0.8126107935630754
Logistic Regression,0.9245352434205074,0.9318384267950323,0.0073031833745248464,0.7899302299721127
Naive Bayes,0.9183487167934208,0.9183487167934208,0.0,0.0
