Model,CV_Mean,CV_Std,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Train_Time,CV_Time,Phase,Configuration,CV_F1_Mean,CV_F1_Std
Logistic Regression,,,0.9318534616578702,0.9216395418927065,0.9447018844609206,0.9318384267950323,,,Phase 2,BoW + Features,0.9323803792495472,0.0039733570861021595
Linear SVM,,,0.9250232846941944,0.922911547911548,0.9283286994130368,0.9250215338964964,,,Phase 2,BoW + Features,0.9224934521048868,0.0034673202170423527
XGBoost,,,0.9248680533995653,0.9014289880431613,0.9548965091133765,0.9247900959071438,,,Phase 2,BoW + Features,0.9240701995186896,0.002854176300051444
Logistic Regression,0.926680856173754,0.004402166468388179,0.9245575908103073,0.9126912691269127,0.9397590361445783,0.9245352434205074,0.07676482200622559,15.851868867874146,Phase 1,BoW only,,
Naive Bayes,0.9218291627141157,0.005179639348397874,0.9183483390251475,0.9218798630563336,0.9150447945628668,0.9183487167934208,0.011590242385864258,1.651810884475708,Phase 1,BoW only,,
Naive Bayes,,,0.9183483390251475,0.9218798630563336,0.9150447945628668,0.9183487167934208,,,Phase 2,BoW only,0.9218971959697893,0.004962860459177822
Linear SVM,0.9141049566495065,0.0029419434662857243,0.9175721825520025,0.9122486288848263,0.9249304911955515,0.917565299236908,0.07843327522277832,1.5188324451446533,Phase 1,BoW only,,
Random Forest,0.8935334283351795,0.0029971540375448792,0.8995653523750388,0.9132099553286535,0.8841519925857275,0.8995476516746784,2.410369634628296,10.298270225524902,Phase 1,BoW only,,
XGBoost,0.8794440357965512,0.00399384408001215,0.885284073269171,0.8433205057724025,0.9477911646586346,0.8848019244800868,0.2905614376068115,1.1142394542694092,Phase 1,BoW only,,
