Model,Features,CV_F1_Mean,CV_F1_Std,Test_Accuracy,Test_Precision,Test_Recall,Test_F1
Logistic Regression,BoW + Features,0.9323803792495472,0.0039733570861021595,0.9318534616578702,0.9216395418927065,0.9447018844609206,0.9318384267950323
Linear SVM,BoW + Features,0.9224934521048868,0.0034673202170423527,0.9250232846941944,0.922911547911548,0.9283286994130368,0.9250215338964964
XGBoost,BoW + Features,0.9240701995186896,0.002854176300051444,0.9248680533995653,0.9014289880431613,0.9548965091133765,0.9247900959071438
Naive Bayes,BoW only,0.9218971959697893,0.004962860459177822,0.9183483390251475,0.9218798630563336,0.9150447945628668,0.9183487167934208
